0,18191,1456,0,18846,32514,11854,57066,122584,32494,39362,4840,18207,22420,47008,22364,23808,24304,35782,17224,23944,13660,38252,23641,21002,8374,5862,32133,107637,78503,65367,118750,139259,105623,81015,54910,95016,99503,112878,65903,66696,67937,60675,85677,73856,90050,70778,78920,75139,76160,42883,133695,113178,98520,123600,53649,148039,111899,90726,102564,95818,86185,81356,63375,48335,28758,54732,46112,33798,58366,23939,33090,25552,57380,64570,50575,53818,42710,48105,41196,44897,120092,111590,43790,61732,31857,182973,81339,74086,30982,63090,272496,141176,42257,28976,26961,89223,33510,98129,61136,37136,93424,82451,118619,359224,68410,59329,68704,123320,68045,145488,81272,135822,100327,109214,79488,152108,196605,69140,102212,93552,171758,101576,173428,394719,104551,35298,0
0,29090,10148,19738,16279,37540,5968,875,3144,39226,15440,43,14484,28184,42982,30754,16708,12968,29246,30638,19284,16530,36572,9455,8462,6688,21954,38917,83224,49368,107782,107026,86904,94338,79574,94982,155287,103320,70770,87268,62244,89200,73573,62046,93104,75156,69664,103250,75740,77975,56352,65366,65145,67814,28395,48288,81203,74147,72290,56843,93526,72896,86778,77055,35695,35055,46207,47010,32971,47746,15970,24366,41154,49736,70922,43774,45585,44440,20631,25968,79042,159465,25876,101379,93256,143337,225560,159872,29727,77870,142122,70375,86461,106782,74205,37892,35494,33422,13344,113662,49145,53201,149206,185530,250938,124967,98452,148851,69698,57875,53932,79480,84211,149602,72660,122238,178221,177717,115017,149872,88098,121407,52431,344842,476194,116309,16994,0
106,15871,39026,35304,23672,28984,23116,5606,33240,37014,5962,23130,42718,20772,44237,37150,738,15639,16456,15385,32651,28898,35528,18318,1110,23404,17904,22961,102271,68332,52027,60241,104566,87247,85385,56780,112260,125119,57927,94771,80867,86644,53330,46971,65387,73596,45938,95742,115498,89874,57714,73774,94956,77559,27292,51525,66353,82980,82391,93589,113071,74885,92169,76826,51780,28018,42397,39452,32286,44410,31456,24106,57540,79704,43758,38879,207109,132528,45755,25600,49534,111769,165117,86304,208221,181142,51595,146023,60863,75374,44456,35157,23109,163054,64969,29254,38135,56677,69943,48598,69809,110904,117819,144998,188580,327391,136575,65078,45440,60716,101701,132636,107463,168586,188100,80397,81495,191212,172640,88754,133700,119420,222414,81853,198880,135212,35640,0
0,5722,17064,54391,87011,14078,22226,44,7877,26211,1575,1368,5450,12224,67156,71824,119766,106162,51982,58318,109260,85753,90120,91104,59866,117287,25111,41408,67319,50600,33718,53588,96311,60105,86444,69391,139236,28309,16467,64833,51278,62855,9637,59133,17810,10688,36274,145908,82086,20416,31054,74050,91514,89312,21820,39886,66745,115674,127299,113554,102386,58359,55693,29752,38322,52785,55505,42376,28274,24836,40953,54686,93035,47004,46410,35518,40449,52398,44816,11660,127391,147535,158054,52245,61176,104689,91697,99831,98058,92471,28413,17872,23076,95895,32586,10713,67988,61410,35093,37922,78798,69601,74263,120340,157899,316614,39892,140289,76969,93433,77582,205130,200472,93407,118507,110760,83086,141763,184168,237680,192110,117045,59494,150018,109780,120519,36662,0
0,17531,45956,23782,33172,23298,41562,1778,2542,18066,3444,1410,40096,38232,112116,112016,100598,45462,122858,63022,81964,79208,87230,35517,58210,27814,23950,55888,72448,68913,34251,55654,73418,113327,122708,89263,100165,11408,16144,61050,61409,85240,18077,78487,46953,36986,15514,123564,20358,73774,11198,103228,123176,70610,11176,40682,57570,123374,81140,118995,129370,82716,37948,27082,32348,43765,43044,33910,46608,55294,80317,46078,39650,30092,28562,25803,30230,32842,20811,105007,310440,152100,73125,31479,92273,41712,106266,136183,98606,92290,50560,61394,37660,65238,135994,39046,30985,56583,31404,90689,81107,79885,91491,55979,120621,350293,104780,65871,57590,91050,100297,88652,106528,55987,91384,76983,106996,204158,95581,161656,111149,90529,139672,187855,136087,436397,86518,0
0,28429,13848,21359,8538,21390,30754,49328,92222,33074,23529,12768,28176,40596,104953,65952,127630,153322,42823,93270,55096,48034,23136,67818,47453,59176,50630,83191,72729,58479,43519,38604,68391,64183,92586,83685,105206,5137,18487,50881,50799,101032,60636,62320,93171,58364,70744,100618,57472,15306,27584,26656,54516,85067,41170,66812,79111,154629,95510,109142,101051,256241,84632,54372,49818,163997,67163,57084,32474,35447,75900,66018,38948,63045,51273,36594,13683,16696,14743,103534,125680,198989,73975,80348,139721,176362,64315,59144,101310,64824,130149,107389,51079,43368,179315,74976,66704,162408,134576,95642,274231,97446,133021,164997,105109,134971,164332,148177,53198,109330,132897,70068,186200,68040,79545,73279,85750,62045,154372,217745,115587,155326,173284,138463,206840,200214,55650,0
0,28385,34658,22242,37628,34194,13618,32670,52384,32328,33624,49258,38252,26278,72248,75390,32836,85860,52048,39224,36032,63614,81564,101904,30550,40103,70909,62145,94457,73462,30111,59017,41283,81633,87473,73942,134348,3065,76817,40236,56422,62921,53946,88050,41790,21562,55724,67824,91140,8406,44630,40098,34670,128828,53977,69243,100596,113652,113496,109647,74720,138902,80144,52327,44991,72810,50915,48154,29516,49764,55657,86682,54616,43774,53884,36603,14627,24265,56963,98250,98828,133128,153785,80894,134072,110521,68303,110345,107650,181962,90534,78193,26334,89041,72947,115757,53314,70799,163193,80908,108785,118445,89325,100352,56805,90489,35820,45209,86696,285744,122618,143865,152311,100230,102515,66026,65993,60968,80887,97092,133769,128516,126996,128577,44260,213339,104139,0
0,26756,24618,33435,52176,4660,33348,18154,30803,15366,25946,17582,6810,6000,107304,18621,17171,11600,86444,55124,66839,50066,49522,66614,29274,95039,79207,110009,74059,79051,57601,20739,72495,87253,128593,96699,86720,26454,48470,27990,26980,64992,53453,56957,22294,69488,18070,49850,110692,9040,23798,74870,115213,90541,45460,84596,50213,24118,112517,84645,52007,105553,46176,40957,60558,46757,51427,23637,44384,45288,69086,67232,57690,57870,24421,32447,101680,117618,130807,103855,153623,163861,96369,75553,51094,98865,124329,98046,117993,84877,28518,61533,33842,30788,40961,131992,83979,196119,149368,188216,128728,143323,53032,107816,39644,70446,37757,117709,120306,63782,50172,120937,233117,241163,80934,123291,219145,56306,93649,170250,280312,228023,94919,116072,273147,150584,68812,0
0,37310,44103,50683,34362,31108,16858,24114,29758,47734,29166,26008,26152,30730,110870,33485,5748,16082,22114,25118,27616,65322,88753,69238,48914,93222,108044,83914,89405,50160,103415,44325,58405,63471,80091,180908,125964,53165,61254,17278,86558,71438,40814,128944,167076,250011,71639,39648,44382,29570,5180,113271,103626,109673,46949,92212,46622,50452,77840,57353,64350,103119,69965,73052,55628,133068,70584,28820,62815,39449,67192,70422,54684,18018,33601,89705,71444,59187,40552,82458,132939,139366,99490,35654,46230,94080,31952,25166,77554,64242,66700,67736,64912,36208,90982,117874,160879,184384,209186,89482,168446,106738,111330,40217,105941,59304,110632,72798,55942,56349,86801,115179,252321,466121,365053,95535,241715,116913,190247,90674,187208,172360,236013,229446,158742,125154,34894,0
0,49336,60838,61681,56794,69418,110311,60954,58286,42730,36450,41782,25662,58136,57822,35500,64050,59240,77020,51848,32664,46120,63943,62326,40807,36154,28540,17442,55890,75228,75361,41212,45158,40887,48509,101042,92616,20966,34034,43275,97322,61626,44257,36825,200782,473201,58840,54570,54078,41980,38354,39636,32952,92484,44827,42796,67051,40724,89770,67311,95006,101845,84354,83643,67192,55791,93891,57180,64306,55457,79580,83530,26227,15270,41132,82071,22721,18625,38707,120119,103745,84938,58399,32021,45646,63218,25580,73129,87284,77745,52530,74076,118578,69096,97673,86383,100760,65725,202260,126782,125845,74071,26170,55923,24440,48849,107507,81112,79325,106511,81592,156487,186254,91932,175625,102056,221943,93447,111328,210298,176545,140696,192847,122992,111984,108697,30982,0
